"Water Year(WY)","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep"
"1972","976,178","975,408","977,675","957,681","907,434","938,619","1,004,132","1,022,639","961,987","811,573","741,240","850,742"
"1973","969,907","988,960","1,007,347","1,044,519","1,045,012","1,049,933","1,047,708","1,030,791","1,019,670","971,586","964,749","983,791"
"1974","1,028,650","1,041,722","1,041,939","---","1,051,038","1,051,911","1,050,115","1,056,493","1,076,681","1,084,166","1,079,812","1,075,980"
"1975","1,069,571","1,067,228","1,065,783","1,063,673","1,061,765","1,062,369","1,060,642","1,004,011","794,805","564,705","544,185","629,747"
"1976","721,425","853,938","914,203","937,338","1,005,939","1,032,455","939,437","810,576","629,466","447,105","377,100","468,732"
"1977","519,737","542,220","---","586,118","619,286","658,269","623,971","653,358","535,360","402,418","224,084","195,839"
"1978","174,081","274,659","417,826","727,379","1,019,477","1,063,648","1,065,228","1,061,836","1,048,802","973,346","956,862","1,051,619"
"1979","1,047,193","1,036,206","1,057,183","1,054,308","1,055,580","1,055,541","1,063,691","1,062,304","938,140","757,182","660,919","720,077"
"1980","761,407","814,242","913,885","1,059,907","1,076,680","1,072,791","1,072,401","1,069,340","1,032,236","882,524","858,852","962,138"
"1981","1,025,907","1,030,298","1,037,952","1,063,148","1,061,472","1,062,410","1,060,272","895,693","610,162","362,765","170,075","147,776"
"1982","146,727","98,990","39,710","40,710","138,674","343,639","582,758","593,140","345,281","136,867","35,721","11,546"
"1983","28,176","50,769","259,842","632,496","985,362","1,069,626","1,060,394","1,059,734","1,058,533","1,056,513","1,062,659","1,045,085"
"1984","1,042,566","1,061,839","1,064,254","1,061,778","1,045,515","1,048,252","1,072,485","999,761","862,333","764,331","726,647","727,148"
"1985","784,058","911,389","1,061,150","1,059,353","1,059,227","1,059,800","1,044,177","975,532","817,805","613,590","539,833","610,235"
"1986","657,634","710,139","906,663","1,065,621","1,075,866","1,061,638","1,060,794","1,044,383","1,004,452","859,105","828,092","993,124"
"1987","1,060,887","1,056,460","1,062,504","1,061,128","1,062,008","1,061,492","981,209","844,404","643,194","509,051","430,091","444,761"
"1988","416,893","425,328","569,636","838,469","1,019,702","1,057,521","1,057,457","1,011,579","885,571","559,038","379,092","398,721"
"1989","358,838","305,311","247,952","463,725","520,604","708,390","824,005","754,186","455,434","188,027","129,354","215,620"
"1990","347,819","426,426","615,836","790,497","928,802","1,072,136","1,150,263","935,234","638,444","346,077","218,602","100,365"
"1991","7,155","8,956","5,555","63,024","93,908","339,738","593,428","567,398","447,565","331,394","324,104","385,114"
"1992","460,929","451,446","409,583","526,163","695,590","991,840","951,836","829,134","647,245","439,596","354,352","380,959"
"1993","305,958","296,535","383,191","798,275","990,060","975,905","1,041,871","939,485","786,803","723,206","786,083","943,656"
"1994","1,064,110","907,066","1,062,560","1,071,679","1,070,541","1,053,827","936,902","828,003","568,701","369,386","294,680","399,342"
"1995","400,817","544,599","709,001","1,091,587","1,171,880","1,169,817","1,086,588","1,061,812","1,048,887","1,073,430","1,077,656","1,081,845"
"1996","1,133,031","1,048,190","911,417","1,061,411","1,076,912","1,058,720","972,070","843,235","787,228","750,346","628,876","740,379"
"1997","843,170","1,048,478","1,109,158","1,101,867","1,105,151","1,085,462","944,918","721,579","593,083","445,203","334,549","461,649"
"1998","547,915","713,723","953,588","1,068,183","1,062,277","1,063,334","1,062,227","1,061,880","1,060,880","1,004,087","873,994","900,000"
"1999","1,014,790","1,063,595","1,074,246","1,103,949","1,097,321","1,061,800","1,011,650","863,254","555,473","476,215","451,049","591,796"
"2000","573,547","683,127","716,955","914,717","1,057,575","1,061,880","969,343","762,064","580,449","401,285","307,591","387,635"
"2001","421,304","460,177","481,677","556,930","747,404","996,764","984,617","815,834","642,248","549,059","515,197","516,007"
"2002","357,700","412,836","675,995","912,332","1,030,871","1,078,173","973,457","744,784","488,121","398,657","467,946","393,795"
"2003","237,482","219,224","319,803","569,838","837,137","984,556","920,243","684,343","557,749","521,880","529,944","652,744"
"2004","607,364","613,477","615,769","809,033","971,719","1,069,446","938,544","674,017","434,812","369,739","408,702","513,536"
"2005","522,176","603,410","672,181","1,013,425","1,099,874","1,063,312","933,372","801,190","764,709","773,382","819,673","925,423"
"2006","990,340","1,022,206","1,167,668","1,153,152","1,144,384","1,063,143","1,059,354","1,003,762","898,261","868,278","832,838","911,032"
"2007","1,022,130","1,087,069","1,242,330","1,164,927","1,152,611","1,027,600","878,373","597,125","336,322","328,944","380,376","445,111"
"2008","483,741","556,641","666,631","768,073","912,590","917,293","841,147","727,516","516,557","376,631","230,570","199,741"
"2009","146,920","225,161","258,137","391,377","477,856","597,334","592,418","496,520","350,031","380,491","373,895","223,477"
"2010","175,984","188,145","343,219","567,198","693,804","834,313","813,067","687,722","603,232","516,494","473,907","414,710"
"2011","436,475","527,893","802,502","972,522","1,035,201","1,067,647","1,061,859","931,405","925,961","907,038","847,901","874,049"
"2012","968,194","915,386","964,224","996,584","973,958","1,000,628","919,498","762,977","632,071","508,834","401,963","389,085"
"2013","308,069","281,611","423,745","486,247","461,372","520,434","431,140","319,756","199,247","208,227","323,113","283,276"
"2014","182,308","234,164","274,426","282,390","306,895","387,577","386,978","337,930","258,599","167,702","154,137","214,076"
"2015","194,880","310,847","535,627","756,064","935,858","958,684","896,328","785,456","659,552","481,162","357,480","324,101"
"2016","293,292","310,329","369,787","504,407","576,677","647,782","555,596","350,071","214,037","155,414","259,336","439,034"
"2017","433,503","607,581","791,476","1,025,870","1,068,468","1,051,592","1,031,840","979,955","1,098,561","1,113,484","1,109,375","1,050,202"
"2018","763,614","730,864","728,822","762,277","697,366","898,322","893,344","857,745","689,676","542,589","641,203","714,025"
"2019","784,302","738,504","867,981","936,142","1,062,260","1,062,792","867,005","698,939","778,535","837,703","747,542","794,997"
"2020","614,447","626,404","888,398","944,445","930,399","974,988","951,599","891,158","794,939","762,577","725,250","611,108"
"2021","551,934","553,204","580,237","643,937","704,885","---","","","","","",""